global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
664.7120810974197	n/a	n/a	441842.1507568627	1038.7278235989825	n/a	1078955.4915186788	n/a	620.3156761284449	n/a	384791.5380506898	n/a	811.0427704221015	528.2391170540901	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0261084416468975	n/a	0.0006816507252294	n/a	-0.0636987125265449	n/a	n/a	0.0040575259775394	-0.1901104395366246	n/a	n/a	0.0361419792208086	0.0019167022074443	n/a	3.673747352021853e-06	n/a	-0.0011548384306292	n/a	1.3336518008581135e-06	n/a	0.0012131082080265	n/a	1.471631524381266e-06	n/a	0.0
658.9940570515771	-5.71802404584264	32.69579898883463	434273.1672292973	999.7806677700074	-38.94715582897504	999561.383646642	1516.8809471664647	619.7498751309649	-0.5658009974799825	384089.9077248466	0.3201307687493431	792.7887835756383	506.588730501802	1.662345	25.436171	0.0803899491357278	0.043513459865753	-0.1314296123	0.0334074405	-0.1367790782	0.0647255458	-0.0276941363	0.0712031013	-0.0086356645	-0.2820435653	0.4407333561	-0.3572081619	0.2261957336	-0.0341671404	0.3064998989	0.0045753437	-0.2840554953	0.0203071092	-0.0783124512	0.19247529	-0.0886457554	0.0504981358	-0.1380693787	-0.0973629776	0.1276450243	-0.0514088621	0.1241836965	-0.0704489211	0.1161515862	-0.0285812706	0.1417179904	-0.0611420769	0.0270571631	-0.1058397763	0.0898423366	-0.0872330492	-0.0234959031	0.0629674409	-0.0140309913	0.0170944403	-0.0342163495	0.1211142654	-0.0404780337	0.0213571113	-0.0228423451	0.07488184	-0.0754820031	0.0199865492	-0.0252159471	0.0328153387	-0.1517549354	0.1030075703	-0.0314424768	-0.0110318321	-0.0005530397	0.1260530786	-0.0167498556	-0.0295699305	-0.2658989945	0.0445578066	-0.0205496645	0.0591310056	-0.1804148666	-0.1762016501	0.6124924048	-0.1440305629	0.249308471	-0.2827978521	0.0173774622	-0.1588399839	0.0625724941	-0.1278749271	0.0895950914	-0.0258105546	0.011349673	-0.070839171	-0.0022526849	0.0559963803	-0.0175537583	0.000518654	-0.026656216	0.0907198149	-0.0176158337	0.0057376162	-0.0440754475	0.0196923586	-0.0354165558	0.209578916	-0.0483999356	0.1500698426	-0.0538872345	0.0860057757	-0.1103918508	-0.1267036155	0.0590521441	-0.0024337586	0.027939301	-0.0527213536	0.0115764116	-0.0908003187	0.0211847369	-0.0447185695	0.1909388398	-0.0402399279	0.0043023898	-0.2007074213	0.1006486238	-0.067675881	-0.0452196736	0.0051955554	0.0434152447	0.1158504512	0.1158311377	0.115798951	0.0	1.2945984849466186e-05	-0.026095495662048	1.67598523722608e-10	0.0006809748938479	-0.0339165194778701	0.0297821930486748	0.0008869790227885	0.0011503302934927	-0.1794202586617146	0.0106901808749099	0.0001142799671382	0.0321916292182365	0.0019220490750642	5.34686761990001e-06	3.6942726469551466e-06	2.85889933447352e-11	-0.0009709174217635	0.0001839210088657	9.42680639883882e-07	3.3826937502176955e-08	0.0011259344935102	-8.717371451629993e-05	1.2677284836760706e-06	7.59925650256936e-09	1.0
657.2129879144137	-1.781069137163399	3.172207271355976	431928.9114833913	988.670447567606	-11.11022020240148	977469.2538935302	123.43699294584997	618.505010671951	-1.244864459013911	382548.4482263103	1.5496875213159975	787.482439969815	508.6216585954575	1.182589	18.095243	0.0377294338341044	0.0178878663929779	-0.1065092355	-0.0109311478	0.0448147777	0.1328475675	-0.039216249	0.1941990233	0.0050093725	-0.0182017236	0.1415630089	-0.0796445115	-0.0688995029	-0.1920792729	-0.0368393524	0.1717854736	-0.0287231992	0.041137497	0.1323717642	0.0867433697	-0.0189040336	-0.0902934818	-0.0985336115	-0.1393718557	0.1361634244	-0.0220610334	0.1544113314	0.1188592563	-0.0288253541	-0.1750124035	0.0468929706	-0.1239181447	-0.146391705	-0.0477706035	0.119510098	0.0102343841	0.0120356755	-0.0074034352	-0.0832991554	-0.0147097091	0.0133678211	-0.066073924	0.0096111927	-0.0192562166	0.1203977324	0.0086647159	0.0434444411	0.070660323	-0.0645671762	-0.0490857133	-0.0083413551	0.1022014014	-0.0164924272	-0.0059451054	-0.0126043742	0.0453468015	0.0094621785	-0.0652541264	-0.1441689072	0.0320836122	-0.1131373342	0.0438466318	0.1985568576	-0.0849828227	0.1719894835	0.0105799785	0.0529562196	0.0803982857	0.1075246359	-0.0088073777	0.0474337825	0.128702315	-0.1391625899	-0.0610891575	-0.0049051029	-0.0693299473	0.0085235769	0.017645461	0.0732263051	-0.0063404842	0.0451771467	0.0308455967	0.0278787832	-0.0474044621	-0.0218038154	0.0704859015	-0.0462319392	0.1696708424	0.0760351239	0.1747174813	0.1013505431	0.0624055141	-0.1549445256	0.0130538071	-0.1260436615	-0.0288237381	-0.0092495519	0.0533422625	-0.0298386482	-0.0141729811	-0.0125673064	-0.1196810651	0.0995620615	0.053454147	-0.0006751192	-0.1310686097	-0.023713637	-0.1101728509	0.1149628742	-0.0840021014	0.0036302753	0.115798951	0.1156251942	0.1153357926	0.0	-0.000154329705893	-0.0001672756907424	2.381765812101988e-08	2.7981156713369194e-08	-0.0464119121014761	-0.012495392623606	0.000156134836818	0.0021540655849151	-0.1727150796182286	0.0067051790434859	4.495942600520381e-05	0.029830498727531	0.0020266975946266	0.0001046485195624	4.107503140065247e-06	1.0951312646602056e-08	-0.001146271218956	-0.0001753537971925	1.313937707406874e-06	3.074895418982842e-08	0.0012131639062807	8.722941277049994e-05	1.471766663502247e-06	7.608970452286258e-09	0.0
656.0756253071121	-1.1373626073016112	1.293593700487919	430435.2261221181	985.2462468423134	-3.424200725292508	970710.1669168648	11.725150607093736	618.9380896103442	0.4330789383931233	383084.3587705024	0.1875573668797146	786.3282413376618	499.2532019246727	1.274055	19.494799	0.0731599798763493	0.0417624329224743	-0.0315635673	-0.0007076473	0.0882420732	-0.0874370121	0.0952264807	0.0681432244	-0.1788591154	0.0901697957	0.0261178328	0.1300559653	0.0525412679	-0.1371955587	0.0951777776	-0.0117239036	0.0396857207	-0.007070259	-0.0648672408	0.1765238859	-0.0089711557	-0.0244378462	0.0108534183	0.0771565034	0.084093084	-0.0559880139	0.1524398143	-0.0215119811	0.0598726918	-0.1349978918	0.0100556812	-0.0177650001	-0.018169736	0.0503497323	0.0521515865	0.2547675377	-0.0159669667	0.049247145	-0.0756053296	-0.0188150378	0.0574828772	0.0447368469	-0.002673463	-0.0134733304	0.0777094142	-0.0251736039	0.0981872049	0.0803441704	-0.0258702574	0.0829313731	-0.0716453834	-0.0174768525	-0.0038840657	0.0190730504	0.1566539251	0.2016136916	-0.0845947767	0.1542260955	-0.0090608984	-0.0864637908	-0.0761405291	0.181607147	0.0333765088	-0.1338189046	-0.0736616531	-0.009417924	0.1028093335	0.0643965457	0.0605853715	0.0291728951	0.1537173031	0.0891880235	-0.1129739276	-0.0132295335	0.0112195608	-0.0037556178	0.0704592693	0.006860727	-0.0987632999	-0.1011974131	0.0009948521	-0.0911886693	0.137483384	0.1627916621	-0.066718995	-0.0370943531	-0.1920103399	0.0992028115	0.1771763217	0.0852773539	-0.0672941858	0.0253358002	-0.0872609419	-0.0114989136	0.0691469258	-0.0213927418	0.1272576223	0.0435440528	0.1544246834	0.0793877881	-0.0009503797	-0.0720341861	0.0085140344	0.0295176094	-0.0313171926	-0.1401688259	0.0505401132	-0.0491906043	0.1013570853	-0.0179729166	-0.0797057755	0.1156959735	0.1152136733	0.1144113283	0.0	-2.2418689141545656e-05	0.0001319110167514	5.02597622825257e-10	1.740051634040247e-08	-0.0414343787506794	0.0049775333507966	2.4775838258293388e-05	0.0017168077424547	-0.1599536463551274	0.0127614332631011	0.0001628541789285	0.0255851689823011	0.0014809155315115	-0.0005457820631151	2.1931108114719885e-06	2.978780604181753e-07	-0.0011889890944145	-4.271787545850002e-05	1.4136950666366128e-06	1.8248168836879187e-09	0.0006958817999403	-0.0005172821063404	4.842514794881517e-07	2.6758077753996093e-07	0.0
655.6051181660803	-0.4705071410318169	0.221376969761934	429818.0709655601	983.4662892575436	-1.779957584769818	967205.9421060024	3.168249003579604	619.1335140975875	0.1954244872433719	383326.3082788276	0.0381907302143348	786.2043381161496	497.0727014166035	1.197515	18.323633	0.1659521149814917	0.0904864033484787	-0.0489912067	0.0193732654	-0.1286134109	-0.0290948694	0.0649786967	0.1211568073	0.0655432821	-0.1169940338	-0.1079612062	0.2077001578	-0.052920332	-0.1123782664	-0.0059235811	0.1377249983	0.1147389858	0.0593920604	-0.1462578453	0.0110629931	0.060084244	-0.0738455266	-0.1598956488	-0.0351406986	0.1614061995	0.079698604	0.0710075092	-0.050146375	0.1087613645	-0.1099678555	0.020528857	0.0804384486	-0.0150300981	0.0091489716	0.1133403204	-0.069455792	0.021185493	0.0352668559	-0.033642427	0.0021047347	-0.1426646645	0.0213035839	-0.0569050685	-0.0487222393	-0.0757721928	-0.0464412887	-0.031140029	0.1205634967	-0.0331623999	0.1637788244	0.0418868927	-0.0167110997	0.0111708731	0.0194665738	0.0711492298	-0.2088358576	0.0038458211	0.0132618907	-0.1053255264	0.0452296237	0.1999603976	0.0980270562	0.0920527605	-0.0937154475	-0.1412768824	0.0638124057	0.0611196918	0.0915607712	0.0034636897	-0.0352348883	0.0006907699	0.0346337099	-0.0003591252	0.0454677506	-0.034333177	0.0235427084	-0.0202944098	-0.1158327538	0.1011880173	-0.1188871595	0.0399306165	-0.0762504076	0.0616325844	-0.045864652	-0.003917636	-0.0099904438	0.0748068722	0.1169792331	-0.0070123901	0.0597297135	-0.1781346853	0.1129962746	0.0108649746	-0.1405077662	-0.0523543555	0.0627582733	0.1244903986	0.0573189029	0.0265855419	-0.0487358052	0.0663440106	0.0083221836	0.1073069964	0.0485326842	-0.0272011578	-0.0965121233	0.0623273445	-0.1005166619	-0.0179972871	-0.08296499	-0.0255594378	0.1155415645	0.1145973067	0.1130292557	0.0	-0.0204914170738987	-0.0204689983847571	0.0004198981736964	0.0004189798948751	0.0295648602290725	0.0709992389797519	0.0050408919357039	0.0008740809603645	-0.1143107926119597	0.0456428537431677	0.0020832700978201	0.0130669573075744	0.001157825978967	-0.0003230895525444	1.340560997570892e-06	1.0438685896340514e-07	-0.0009360977992196	0.0002528912951949	8.762790897037785e-07	6.395400718535404e-08	0.0006950421702034	-8.396297368999791e-07	4.83083618361052e-07	7.049780950867282e-13	0.0
655.8217867558976	0.2166685898173455	0.0469452778134371	430102.215983698	984.8977269784808	1.431437720937197	970023.532607378	2.0490139489218766	619.4750669853172	0.3415528877296765	383749.35861646326	0.116658375116481	785.6414135121655	502.3914303387681	1.28059	19.594793	0.1342121532652877	0.0749652466572116	-0.0506518596	-0.0782622254	-0.0704312977	0.1403601046	0.055596559	0.2300867404	0.1384960964	-0.0367022455	0.0271480686	0.0815439628	-0.1369277402	-0.144343858	-0.1297969225	-0.0517023198	0.0458946348	0.1438205703	0.0588714013	0.1310621536	-0.0668448028	-0.0598979127	0.1875649389	-0.1310582936	0.1248777139	-0.0181075252	0.0492550171	-0.0116190858	-0.1536740929	0.032073916	0.0561084579	0.0273386618	-0.0483647572	-0.1803658482	-0.0099945102	-0.0303478083	0.0491300027	0.0885353145	0.0400322725	-0.0011937519	0.0226916457	0.0059303859	-0.0886654351	0.0180561813	-0.1358033903	-0.0598206279	-0.0550418109	0.0562840342	0.1514881237	-0.0842864316	0.0333948965	0.0313293776	-0.0558835668	-0.1696128036	0.0114616523	-0.0369437788	0.0613437	-0.1576785918	-0.0915033023	0.0545808584	-0.0278868933	0.0958689696	0.1546234598	0.0730600257	-0.1111174335	-0.0337236851	0.0220322855	0.106958103	-0.131779931	-0.0706653307	0.0704696739	0.1624639454	0.0719770005	-0.0693658136	0.0415157137	-0.0391056685	-0.0605724652	-0.0425119075	-0.059584069	0.0587019307	-0.1146252468	0.0717992031	-0.0341721603	-0.006657035	0.0896195734	0.0442491901	-0.0763255181	0.2127115425	-0.060894195	0.089623261	0.0879336357	0.0088866887	-0.0484437815	-0.0754660062	-0.0788964978	-0.0177188274	-0.0561828855	0.0531641136	0.0192668611	-0.0758216327	0.0569107847	0.13852894	-0.0410047013	-0.1334558353	0.0173702543	-0.10936446	-0.0414991229	-0.1639604603	-0.0471845624	0.0071302911	0.0757000902	0.1153357926	0.1137771902	0.1111951025	0.0	-0.0205983824437083	-0.0001069653698096	0.0004242933592972	1.1441590338504516e-08	-0.0300340227510957	-0.0595988829801682	0.0035520268524837	0.0009020425226133	-0.1465267640427896	-0.0322159714308299	0.001037868815232	0.0214700925808513	0.0012484071727951	9.05811938281e-05	1.5585204690862549e-06	8.204952675323822e-09	-0.0006797550897499	0.0002563427094697	4.620669820408946e-07	6.571158469826704e-08	0.0011939249365952	0.0004988827663917	1.4254567542238522e-06	2.4888401460273524e-07	0.0
655.6734791003962	-0.1483076555014122	0.0219951606803255	429907.7111956177	984.6159510756984	-0.2817759027824422	969468.571112702	0.0793976593888603	619.6480875829956	0.1730205976783736	383963.7524452637	0.0299361272209816	786.4108658745897	495.83643812512696	1.380995	21.131138	0.081339585604823	0.0362564398822776	-0.0034790266	-0.0545085657	0.121193743	-0.0511903444	0.0046614412	0.121405279	-0.1243667721	0.0986475975	0.1069792026	0.1278278305	-0.0492294161	-0.1157141656	-0.1040012798	0.0066305651	-0.0685912885	0.0495153646	0.0288392847	-0.0980667066	-0.0310914539	0.0816471257	-0.0925302956	0.1332733686	0.1887584732	-0.0269597789	0.0688665468	0.2036646299	-0.0689058698	0.0216198999	0.0251993033	0.0910682698	0.0288493737	0.1328725424	-0.0867975955	0.0420336552	-0.0794798675	0.0091420532	0.1649806409	-0.1551989242	-0.0058817312	-0.0635294727	0.0825719668	0.0788087935	0.084527041	0.0221137977	-0.0555792339	-0.0926380829	0.0943194647	0.0839265104	0.0210952611	0.0332874224	0.0040370538	-0.1534786989	-0.0855551192	0.0303928364	0.1140929198	0.0859898337	-0.0578499335	-0.1065312745	-0.102407146	0.0750045517	0.1840650205	0.0725633271	-0.0410983548	0.0658525943	0.0185056612	-0.004599665	-0.0411434208	0.0473480133	-0.0842149366	-0.1342870917	-0.0943340916	0.0717657568	0.031460667	0.071510783	0.2072464782	-0.038131498	-0.109711308	0.0746604899	0.1000083235	-0.169313176	0.0709802744	0.0738374699	-0.0926093562	0.0722756203	0.0006978098	0.1097665314	0.189522403	0.0659912802	0.0313733984	-0.0328302884	-0.0898951077	0.0630303516	-0.0932176899	-0.0111787402	0.0728155566	-0.0343774971	-0.0317017207	0.0542312613	0.0881749049	-0.0358736129	-0.0605091489	0.0305014142	-0.00617911	-0.0029819885	0.1159124635	0.0192118276	0.1696185844	0.0572565355	-0.0010959081	0.1150787493	0.1127547821	0.1089162049	0.0	-0.0122611393951217	0.0083372430485866	0.0001503355392666	6.95096216512056e-05	-0.0565625762770594	-0.0265285535259637	0.0007037641521799	0.0031993250350981	-0.1381764751269969	0.0083502889157927	6.972732497721047e-05	0.0190927382785215	0.001355847084753	0.0001074399119579	1.838321317233209e-06	1.1543334681521305e-08	-0.000910978131533	-0.0002312230417831	8.298811561313559e-07	5.3464095051429215e-08	0.0007701178880466	-0.0004238070485485	5.930815614893555e-07	1.7961241439947538e-07	0.0
655.8950210761303	0.2215419757341123	0.049080847012174	430198.27867245744	984.8831814852628	0.2672304095643767	969994.881172533	0.0714120917959445	619.6731369555296	0.0250493725339993	383994.7966643065	0.000627471064347	785.9238841304522	496.4868219421335	1.02919	15.748034	0.1215038349453861	0.0744779662112391	-0.0100535622	-0.0592007056	0.1017468763	-0.0352497063	0.0555001172	-0.0593609531	-0.0892558354	0.0752685564	-0.0326425988	0.1130690522	0.0944681691	-0.057695169	-0.0179506672	-0.0906610882	0.1362328322	0.0958324303	0.1025645383	-0.0056332309	-0.1527550204	0.0283426757	0.1714396412	0.142829166	0.030229133	-0.1038431567	0.0986644718	-0.0772675848	-0.0858992283	-0.0714748988	0.0092743535	0.0795485927	-0.0137164464	-0.0233053631	-0.0285915979	-0.1354419699	-0.093226517	-0.0368281316	0.0108329406	-0.0257913049	0.0374848117	0.1506856472	0.0868155519	-0.0528015249	0.1205555633	0.0156174321	-0.0534635693	0.0551882484	-0.0150774712	0.0560694878	-0.017437672	-0.0454144118	0.1463355894	0.0246459152	0.0301241778	-0.1181593199	-0.0727250671	0.0932096739	0.0590838851	-0.1260410307	-0.028951361	0.1335835195	0.0384348298	-0.0308820822	-0.0797926592	-0.0221922185	0.0421602546	0.0833269755	-0.0665244963	-0.0384348433	-0.0853540647	0.0966695862	0.0667956444	0.0442088709	0.0647559989	0.1069510551	-0.0889256628	0.1088764846	-0.0382134116	-0.0241085227	0.1173491954	0.0315892547	0.0435514818	0.0505155545	-0.0280421395	-0.1015192284	0.1190823668	0.054922332	0.1120833474	-0.0038426823	-0.1505463351	-0.0448154453	-0.0246602806	0.0800375959	0.0699726176	0.0054714328	0.0602357237	0.1277900352	-0.0003400659	0.0896794127	0.0186855869	0.0770399749	-0.0238411527	-0.0532043858	0.0595455014	0.0060677241	0.0576234562	0.0512456724	0.0462097957	0.0023367063	0.0529128901	0.1147705489	0.1115319001	0.1062016776	0.0	-0.0059105259410756	0.0063506134540461	3.493431690012761e-05	4.033029124271134e-05	0.0070029229125481	0.0635654991896075	0.0040405726872239	4.904092931909117e-05	-0.1076108105075093	0.0305656646194876	0.0009342598536309	0.011580086538083	0.0012916892455918	-6.415783916119996e-05	1.6684611071775136e-06	4.116228325834403e-09	-0.0009112324433953	-2.543118622999694e-07	8.303445658961686e-07	6.46745233064786e-14	0.0004140888854252	-0.0003560290026213	1.7146960503268444e-07	1.2675665070758885e-07	0.0
655.3694787935098	-0.5255422826205631	0.2761946908220318	429509.1537340767	986.1797326038036	1.2965511185408332	972550.4649985096	1.6810448029894856	619.3301277352338	-0.3430092202958121	383569.80712054094	0.1176553252079409	786.4795675482231	498.0563517106722	1.234202	18.884993	0.0421419005871977	0.0227889349748637	-0.036855254	-0.0840538915	-0.1147517114	0.0594985202	0.0173723461	-0.0404208335	0.0553020379	-0.0687278013	0.042745545	0.0830880514	-0.0458417823	-0.0249968244	0.0005151891	-0.0369524253	0.1515968289	0.0188826665	-0.1061523721	0.0567170664	0.1112650128	0.0919279759	-0.0371942431	-0.0512488738	0.1374370542	-0.0576914474	-0.1481888861	-0.1172328251	0.0363571141	-0.0224187812	0.0806497382	0.0171932513	-0.0295643984	0.0469796171	0.0527667787	0.0811900553	-0.0861955431	-0.1007558204	-0.1143902728	0.1025682225	-0.1275751299	0.0036665238	0.0308214435	-0.0427527846	0.0159416589	0.1643137903	0.095055	-0.0168246891	0.0129986271	-0.1213609385	0.0810946564	-0.1753932673	-0.0953377222	0.0146139082	0.132645186	0.1413709793	0.0128648441	-0.054928738	-0.0757003289	0.0077203272	0.0696047234	0.0967927516	-0.074999283	0.0131075439	-0.1404230598	0.157273598	0.0258875379	0.0278397255	-0.0061855437	-0.031152969	0.0074593963	-0.0503710575	-0.1294993848	-0.078158112	-0.0788099259	-0.0534440947	-0.1532260237	0.0286002304	-0.0067791621	0.0271858471	0.0636891465	0.0644944204	0.1089636023	-0.0865690478	-0.0348620563	-0.0395081362	0.023095956	0.1370258981	-0.0866801622	-0.0163595572	-0.1287267157	-0.0871787164	-0.0198989402	-0.0195936495	0.0203629906	0.0463443153	0.0795519782	-0.0889281556	-0.0121154494	-0.0017177557	-0.0874292751	0.0639834167	-0.060558677	0.0301436263	-0.0365658472	0.0324254396	-0.0719153932	0.0463421999	-0.0619403819	0.0319263385	0.1355184442	0.1144113283	0.1101107184	0.103062378	0.0	-0.0206893830139307	-0.0147788570728551	0.0004280505694971	0.0002184146163798	-0.0008369856358569	-0.007839908548405	6.14641660473538e-05	7.005449546307791e-07	-0.1005459732647366	0.0070648372427726	4.99119252668681e-05	0.0101094927397531	0.0010426887270612	-0.0002490005185306	1.0871997815405058e-06	6.20012582285077e-08	-0.0009112845140406	-5.2070645299999614e-08	8.304394655302124e-07	2.711352101958372e-15	0.0004139755201378	-1.1336528740003633e-07	1.7137573127336206e-07	1.2851688387292832e-14	0.0
655.0349588752316	-0.3345199182781471	0.1119035757248182	429070.7973486764	987.1058968788336	0.9261642750300324	974378.0516529664	0.8577802643419057	619.7874934900946	0.4573657548608025	384136.537086734	0.2091834337193917	787.312322675661	488.3474437226988	1.013567	15.508978	0.0633279673345236	0.0346666388401444	0.0007557375	-0.0720755807	-0.1680236147	-0.0107327087	-0.0426317787	0.0277563207	0.0471050797	-0.1501742683	-0.011488912	-0.0165399977	-0.0572264563	-0.100820082	-0.0695016402	0.0197711888	0.0954503802	-0.0273623264	-0.0646277433	-0.0143801537	0.0706261166	0.0301394667	0.1115067613	-0.1099240463	0.1327005219	0.0337198529	0.0413048325	-0.1531331069	-0.0095676184	-0.0150274146	-0.0454905506	0.0265483146	0.0661929136	0.0453032739	0.0984491651	-0.0178144048	0.1229337533	0.0429790228	0.1244021981	-0.0109862986	-0.0510000719	-0.0050328093	-0.0429459374	0.1151462986	0.0447588579	0.0874370928	0.081977967	-0.0432071887	-0.0794523817	0.030935446	-0.0567061303	-0.0619341929	-0.1442527155	0.1773800759	-0.1864148449	-0.104459834	-0.0518889178	-0.03809355	-0.1351869303	0.1474039366	0.0162642847	0.0884509137	-0.005922827	-0.0143546395	-0.0578922737	0.0496734793	-0.0119897608	0.0486387124	0.0165490168	-0.0369124652	-0.0023987531	-0.0363648701	-0.0635222487	0.0753013618	-0.0061002816	0.024473803	-0.0849523808	-0.0231474232	0.1603048163	-0.0183459816	0.0178767349	-0.0197428967	-0.0542041909	0.0643335596	0.0351203225	-0.012397009	0.2196481539	0.1324116796	-0.0601685176	0.0204511773	0.0437263252	-0.0185619538	0.1061828269	-0.1046742847	0.0100828451	-0.0077249383	0.0611276943	0.0482694584	-0.0097749114	-0.0566995719	-0.0446585905	0.0527547336	-0.1113517118	0.0105857978	-0.0463706297	0.0824751733	-0.1522331961	0.138132628	-0.0135924968	-0.0740287036	0.0723844238	0.1140012473	0.1084937639	0.0995108621	0.0	-0.0059671046019644	0.0147222784119663	3.560633733078472e-05	0.0002167454816394	-0.0286950227569917	-0.0278580371211348	0.0007760702322425	0.0008234043310242	-0.1008766954408741	-0.0003307221761374	1.0937715778912293e-07	0.0101761076830708	0.0008757822922287	-0.0001669064348325	7.66994623381356e-07	2.785775798849559e-08	-0.0010057522859381	-9.44677718975e-05	1.0115376606697136e-06	8.924159927278093e-09	0.0005609399059135	0.0001469643857757	3.146535780462463e-07	2.1598530686428783e-08	0.0
